,mc2,r2,n_features_selected,perc_reduction_features,feature,coeff,feature_importance
150,Wild Bird,0.9716544910682431,7,50.0,oos_rate,7074.401150057465,7074.401150057465
151,Equine,0.977923938696317,12,14.28571428571429,oos_rate,-5024.880518469519,5024.880518469519
152,Personalized,0.9914771759651507,4,71.42857142857143,oos_rate,0.0,0.0
153,Core Treats,0.9898299192231189,10,28.57142857142857,conv_order_mc2_rate,5127393.061047907,5127393.061047907
154,Core Food,0.993107682080435,11,21.42857142857143,conv_order_mc2_rate,29897396.779469155,29897396.779469155
155,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,conv_order_mc2_rate,4814146.545802028,4814146.545802028
156,Premium,0.9934626794809029,10,28.57142857142857,conv_order_mc2_rate,2733349.278179578,2733349.278179578
157,Health & Wellness,0.9931007021249699,9,35.71428571428571,conv_order_mc2_rate,2344712.9528168486,2344712.9528168486
158,Toys,0.9972272104274261,9,35.71428571428571,conv_order_mc2_rate,1058026.8954140365,1058026.8954140365
159,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,conv_order_mc2_rate,854592.0303644978,854592.0303644978
160,Technology,0.8737832166171411,4,71.42857142857143,conv_order_mc2_rate,269164.42163745285,269164.42163745285
161,Litter,0.9935630391173818,9,35.71428571428571,conv_order_mc2_rate,3641169.2528314125,3641169.2528314125
162,Over the Counter,0.9021825084776625,9,35.71428571428571,conv_order_mc2_rate,149719.16711560116,149719.16711560116
163,Apparel & People Products,0.9892847222030634,6,57.14285714285714,conv_order_mc2_rate,194159.57408664792,194159.57408664792
164,Flea & Tick,0.96554167839405,6,57.14285714285714,conv_order_mc2_rate,2010265.4131799075,2010265.4131799075
165,Fish,0.922632945977137,3,78.57142857142857,conv_order_mc2_rate,134166.30040271196,134166.30040271196
166,Small Pet,0.9836511592089335,7,50.0,conv_order_mc2_rate,457976.4090549962,457976.4090549962
167,Wild Bird,0.9716544910682431,7,50.0,conv_order_mc2_rate,86837.84678381371,86837.84678381371
168,Equine,0.977923938696317,12,14.28571428571429,conv_order_mc2_rate,92586.00379295243,92586.00379295243
169,Personalized,0.9914771759651507,4,71.42857142857143,conv_order_mc2_rate,29250.993593244428,29250.993593244428
170,Core Treats,0.9898299192231189,10,28.57142857142857,total_visits_mc2,-2424954.558531624,2424954.558531624
171,Core Food,0.993107682080435,11,21.42857142857143,total_visits_mc2,206926.94815870372,206926.94815870372
172,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,total_visits_mc2,-0.0,0.0
173,Premium,0.9934626794809029,10,28.57142857142857,total_visits_mc2,162779.37376070945,162779.37376070945
174,Health & Wellness,0.9931007021249699,9,35.71428571428571,total_visits_mc2,2675.076136557896,2675.076136557896
175,Toys,0.9972272104274261,9,35.71428571428571,total_visits_mc2,-0.0,0.0
176,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,total_visits_mc2,0.0,0.0
177,Technology,0.8737832166171411,4,71.42857142857143,total_visits_mc2,0.0,0.0
178,Litter,0.9935630391173818,9,35.71428571428571,total_visits_mc2,-87684.5935420051,87684.5935420051
179,Over the Counter,0.9021825084776625,9,35.71428571428571,total_visits_mc2,0.0,0.0
180,Apparel & People Products,0.9892847222030634,6,57.14285714285714,total_visits_mc2,0.0,0.0
181,Flea & Tick,0.96554167839405,6,57.14285714285714,total_visits_mc2,-276311.0897975417,276311.0897975417
182,Fish,0.922632945977137,3,78.57142857142857,total_visits_mc2,0.0,0.0
183,Small Pet,0.9836511592089335,7,50.0,total_visits_mc2,-36938.92218084085,36938.92218084085
184,Wild Bird,0.9716544910682431,7,50.0,total_visits_mc2,-0.0,0.0
185,Equine,0.977923938696317,12,14.28571428571429,total_visits_mc2,-17140.763887964295,17140.763887964295
186,Personalized,0.9914771759651507,4,71.42857142857143,total_visits_mc2,-0.0,0.0
187,Core Treats,0.9898299192231189,10,28.57142857142857,total_visits_all,2846259.3591774986,2846259.3591774986
188,Core Food,0.993107682080435,11,21.42857142857143,total_visits_all,-0.0,0.0
189,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,total_visits_all,-0.0,0.0
190,Premium,0.9934626794809029,10,28.57142857142857,total_visits_all,-0.0,0.0
191,Health & Wellness,0.9931007021249699,9,35.71428571428571,total_visits_all,-136891.63957485088,136891.63957485088
192,Toys,0.9972272104274261,9,35.71428571428571,total_visits_all,236638.26174457077,236638.26174457077
193,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,total_visits_all,612088.7879038592,612088.7879038592
194,Technology,0.8737832166171411,4,71.42857142857143,total_visits_all,-0.0,0.0
195,Litter,0.9935630391173818,9,35.71428571428571,total_visits_all,-0.0,0.0
196,Over the Counter,0.9021825084776625,9,35.71428571428571,total_visits_all,41647.98502592749,41647.98502592749
197,Apparel & People Products,0.9892847222030634,6,57.14285714285714,total_visits_all,0.0,0.0
198,Flea & Tick,0.96554167839405,6,57.14285714285714,total_visits_all,-0.0,0.0
199,Fish,0.922632945977137,3,78.57142857142857,total_visits_all,0.0,0.0
200,Small Pet,0.9836511592089335,7,50.0,total_visits_all,0.0,0.0
201,Wild Bird,0.9716544910682431,7,50.0,total_visits_all,-0.0,0.0
202,Equine,0.977923938696317,12,14.28571428571429,total_visits_all,-24048.448599674863,24048.448599674863
203,Personalized,0.9914771759651507,4,71.42857142857143,total_visits_all,-0.0,0.0
204,Core Treats,0.9898299192231189,10,28.57142857142857,total_visits_exc,-885526.903118378,885526.903118378
205,Core Food,0.993107682080435,11,21.42857142857143,total_visits_exc,-1427455.0991992783,1427455.0991992783
206,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,total_visits_exc,-6453.623811924446,6453.623811924446
207,Premium,0.9934626794809029,10,28.57142857142857,total_visits_exc,-285760.9011943047,285760.9011943047
208,Health & Wellness,0.9931007021249699,9,35.71428571428571,total_visits_exc,-0.0,0.0
209,Toys,0.9972272104274261,9,35.71428571428571,total_visits_exc,-251239.0190332857,251239.0190332857
210,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,total_visits_exc,-610934.5409650601,610934.5409650601
211,Technology,0.8737832166171411,4,71.42857142857143,total_visits_exc,-0.0,0.0
212,Litter,0.9935630391173818,9,35.71428571428571,total_visits_exc,-106822.36996839044,106822.36996839044
213,Over the Counter,0.9021825084776625,9,35.71428571428571,total_visits_exc,29848.991967524984,29848.991967524984
214,Apparel & People Products,0.9892847222030634,6,57.14285714285714,total_visits_exc,38973.48309039168,38973.48309039168
215,Flea & Tick,0.96554167839405,6,57.14285714285714,total_visits_exc,-559531.531176707,559531.531176707
216,Fish,0.922632945977137,3,78.57142857142857,total_visits_exc,0.0,0.0
217,Small Pet,0.9836511592089335,7,50.0,total_visits_exc,0.0,0.0
218,Wild Bird,0.9716544910682431,7,50.0,total_visits_exc,-11659.703937341112,11659.703937341112
219,Equine,0.977923938696317,12,14.28571428571429,total_visits_exc,-22212.99885003487,22212.99885003487
220,Personalized,0.9914771759651507,4,71.42857142857143,total_visits_exc,-0.0,0.0
221,Core Treats,0.9898299192231189,10,28.57142857142857,lagged_oos_rate,-534626.2369846486,534626.2369846486
222,Core Food,0.993107682080435,11,21.42857142857143,lagged_oos_rate,-1152047.9695068921,1152047.9695068921
223,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,lagged_oos_rate,-0.0,0.0
224,Premium,0.9934626794809029,10,28.57142857142857,lagged_oos_rate,-0.0,0.0
225,Health & Wellness,0.9931007021249699,9,35.71428571428571,lagged_oos_rate,-0.0,0.0
226,Toys,0.9972272104274261,9,35.71428571428571,lagged_oos_rate,-226024.3186774769,226024.3186774769
227,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,lagged_oos_rate,-25481.029033138424,25481.029033138424
228,Technology,0.8737832166171411,4,71.42857142857143,lagged_oos_rate,0.0,0.0
229,Litter,0.9935630391173818,9,35.71428571428571,lagged_oos_rate,-24371.157182818613,24371.157182818613
230,Over the Counter,0.9021825084776625,9,35.71428571428571,lagged_oos_rate,-0.0,0.0
231,Apparel & People Products,0.9892847222030634,6,57.14285714285714,lagged_oos_rate,-0.0,0.0
232,Flea & Tick,0.96554167839405,6,57.14285714285714,lagged_oos_rate,0.0,0.0
233,Fish,0.922632945977137,3,78.57142857142857,lagged_oos_rate,0.0,0.0
234,Small Pet,0.9836511592089335,7,50.0,lagged_oos_rate,1947.5436101527182,1947.5436101527182
235,Wild Bird,0.9716544910682431,7,50.0,lagged_oos_rate,0.0,0.0
236,Equine,0.977923938696317,12,14.28571428571429,lagged_oos_rate,-3629.6394340655625,3629.6394340655625
237,Personalized,0.9914771759651507,4,71.42857142857143,lagged_oos_rate,-0.0,0.0
