,mc2,r2,n_features_selected,perc_reduction_features,feature,coeff,feature_importance
178,Technology,0.941962838924514,10,28.57142857142857,total_views_perc,289928.60708239296,289928.60708239296
179,Litter,0.9540921226254634,4,71.42857142857143,total_views_perc,-0.0,0.0
180,Over the Counter,0.934570139349339,7,50.0,total_views_perc,-0.0,0.0
181,Apparel & People Products,0.9840368683869404,10,28.57142857142857,total_views_perc,-490964.04594761605,490964.04594761605
182,Flea & Tick,0.9424654613516299,6,57.14285714285714,total_views_perc,577035.7933695852,577035.7933695852
183,Fish,0.8523385821199098,14,0.0,total_views_perc,-39610.43298180453,39610.43298180453
184,Reptile & Amphibians,0.9481254873191983,7,50.0,total_views_perc,62926.75022057902,62926.75022057902
185,Pet Bird,0.9477105297409166,8,42.85714285714286,total_views_perc,150154.77041012634,150154.77041012634
186,Small Pet,0.9857534746963389,5,64.28571428571428,total_views_perc,-0.0,0.0
187,Wild Bird,0.8818545055591201,7,50.0,total_views_perc,330395.25500637747,330395.25500637747
188,Perishable,0.8004946407366003,7,50.0,total_views_perc,0.0,0.0
189,Equine,0.9775651941524515,8,42.85714285714286,total_views_perc,25270.762374712063,25270.762374712063
190,Chicken & Farm,0.24042276955896758,1,92.85714285714286,total_views_perc,0.0,0.0
191,Personalized,0.9534351679012671,4,71.42857142857143,total_views_perc,0.0,0.0
192,Core Treats,0.9474519275439929,5,64.28571428571428,oos_rate,-0.0,0.0
193,Core Food,0.9404157188825747,4,71.42857142857143,oos_rate,-0.0,0.0
194,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,oos_rate,-2283190.74540236,2283190.74540236
195,Premium,0.990197135081476,11,21.42857142857143,oos_rate,265524.9620705379,265524.9620705379
196,Health & Wellness,0.982506502020755,7,50.0,oos_rate,-598637.9906290426,598637.9906290426
197,Toys,0.9846228539613054,5,64.28571428571428,oos_rate,0.0,0.0
198,Containment & Gear,0.958323155055493,7,50.0,oos_rate,548030.8645297837,548030.8645297837
199,Beds & Furniture,0.9818795155979155,6,57.14285714285714,oos_rate,-0.0,0.0
200,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,oos_rate,-0.0,0.0
201,Grooming & Waste Management,0.9365487887316618,7,50.0,oos_rate,-142771.92735107295,142771.92735107295
202,Technology,0.941962838924514,10,28.57142857142857,oos_rate,-218097.34813733387,218097.34813733387
203,Litter,0.9540921226254634,4,71.42857142857143,oos_rate,0.0,0.0
204,Over the Counter,0.934570139349339,7,50.0,oos_rate,-61215.56279043685,61215.56279043685
205,Apparel & People Products,0.9840368683869404,10,28.57142857142857,oos_rate,124548.51621634523,124548.51621634523
206,Flea & Tick,0.9424654613516299,6,57.14285714285714,oos_rate,-131467.5906445577,131467.5906445577
